game_id,round_id,team1_score,team2_score,team1_round_score,team2_round_score,seat_position,is_dealer,partner_is_dealer,trump_suit,hand,known_cards,card_to_evaluate,card_to_play,win_probability
0,1,0,0,0,0,0,False,False,hearts,"['10 of hearts', 'A of hearts', '9 of diamonds', '9 of clubs', 'K of diamonds']",['K of clubs'],10 of hearts,0,0.0
0,1,0,0,0,0,0,False,False,hearts,"['10 of hearts', 'A of hearts', '9 of diamonds', '9 of clubs', 'K of diamonds']",['K of clubs'],A of hearts,1,0.0
0,1,0,0,0,0,0,False,False,hearts,"['10 of hearts', 'A of hearts', '9 of diamonds', '9 of clubs', 'K of diamonds']",['K of clubs'],9 of diamonds,0,0.0
0,1,0,0,0,0,0,False,False,hearts,"['10 of hearts', 'A of hearts', '9 of diamonds', '9 of clubs', 'K of diamonds']",['K of clubs'],9 of clubs,0,0.0
0,1,0,0,0,0,0,False,False,hearts,"['10 of hearts', 'A of hearts', '9 of diamonds', '9 of clubs', 'K of diamonds']",['K of clubs'],K of diamonds,0,0.0
0,2,0,0,0,1,3,False,False,hearts,"['10 of hearts', '9 of diamonds', '9 of clubs', 'K of diamonds']","['K of clubs', 'A of hearts', 'J of diamonds', 'Q of hearts', '9 of hearts']",10 of hearts,0,0.0
0,2,0,0,0,1,3,False,False,hearts,"['10 of hearts', '9 of diamonds', '9 of clubs', 'K of diamonds']","['K of clubs', 'A of hearts', 'J of diamonds', 'Q of hearts', '9 of hearts']",9 of diamonds,0,0.0
0,2,0,0,0,1,3,False,False,hearts,"['10 of hearts', '9 of diamonds', '9 of clubs', 'K of diamonds']","['K of clubs', 'A of hearts', 'J of diamonds', 'Q of hearts', '9 of hearts']",9 of clubs,1,0.0
0,2,0,0,0,1,3,False,False,hearts,"['10 of hearts', '9 of diamonds', '9 of clubs', 'K of diamonds']","['K of clubs', 'A of hearts', 'J of diamonds', 'Q of hearts', '9 of hearts']",K of diamonds,0,0.0
0,3,0,0,0,2,3,False,False,hearts,"['10 of hearts', '9 of diamonds', 'K of diamonds']","['K of clubs', 'A of hearts', 'J of diamonds', 'Q of hearts', '9 of hearts', 'A of clubs', '10 of diamonds', '10 of spades', '9 of clubs']",10 of hearts,0,0.0
0,3,0,0,0,2,3,False,False,hearts,"['10 of hearts', '9 of diamonds', 'K of diamonds']","['K of clubs', 'A of hearts', 'J of diamonds', 'Q of hearts', '9 of hearts', 'A of clubs', '10 of diamonds', '10 of spades', '9 of clubs']",9 of diamonds,1,0.0
0,3,0,0,0,2,3,False,False,hearts,"['10 of hearts', '9 of diamonds', 'K of diamonds']","['K of clubs', 'A of hearts', 'J of diamonds', 'Q of hearts', '9 of hearts', 'A of clubs', '10 of diamonds', '10 of spades', '9 of clubs']",K of diamonds,0,0.0
0,4,0,1,0,3,1,False,False,hearts,"['10 of hearts', 'K of diamonds']","['K of clubs', 'A of hearts', 'J of diamonds', 'Q of hearts', '9 of hearts', 'A of clubs', '10 of diamonds', '10 of spades', '9 of clubs', '10 of clubs', 'J of spades', 'K of hearts', '9 of diamonds']",10 of hearts,1,0.0
0,4,0,1,0,3,1,False,False,hearts,"['10 of hearts', 'K of diamonds']","['K of clubs', 'A of hearts', 'J of diamonds', 'Q of hearts', '9 of hearts', 'A of clubs', '10 of diamonds', '10 of spades', '9 of clubs', '10 of clubs', 'J of spades', 'K of hearts', '9 of diamonds']",K of diamonds,0,0.0
0,5,0,1,0,4,1,False,False,hearts,['K of diamonds'],"['K of clubs', 'A of hearts', 'J of diamonds', 'Q of hearts', '9 of hearts', 'A of clubs', '10 of diamonds', '10 of spades', '9 of clubs', '10 of clubs', 'J of spades', 'K of hearts', '9 of diamonds', 'J of hearts', '10 of hearts', 'Q of clubs', 'Q of spades']",K of diamonds,1,0.0
0,1,0,2,0,0,3,True,True,spades,"['10 of diamonds', 'Q of hearts', 'Q of diamonds', 'J of spades', 'J of clubs']",['9 of clubs'],10 of diamonds,0,1.0
0,1,0,2,0,0,3,True,True,spades,"['10 of diamonds', 'Q of hearts', 'Q of diamonds', 'J of spades', 'J of clubs']",['9 of clubs'],Q of hearts,1,1.0
0,1,0,2,0,0,3,True,True,spades,"['10 of diamonds', 'Q of hearts', 'Q of diamonds', 'J of spades', 'J of clubs']",['9 of clubs'],Q of diamonds,0,1.0
0,1,0,2,0,0,3,True,True,spades,"['10 of diamonds', 'Q of hearts', 'Q of diamonds', 'J of spades', 'J of clubs']",['9 of clubs'],J of spades,0,1.0
0,1,0,2,0,0,3,True,True,spades,"['10 of diamonds', 'Q of hearts', 'Q of diamonds', 'J of spades', 'J of clubs']",['9 of clubs'],J of clubs,0,1.0
0,2,0,0,1,0,2,True,True,spades,"['10 of diamonds', 'Q of diamonds', 'J of spades', 'J of clubs']","['9 of clubs', 'A of hearts', '9 of spades', 'K of hearts', 'Q of hearts']",10 of diamonds,0,1.0
0,2,0,0,1,0,2,True,True,spades,"['10 of diamonds', 'Q of diamonds', 'J of spades', 'J of clubs']","['9 of clubs', 'A of hearts', '9 of spades', 'K of hearts', 'Q of hearts']",Q of diamonds,0,1.0
0,2,0,0,1,0,2,True,True,spades,"['10 of diamonds', 'Q of diamonds', 'J of spades', 'J of clubs']","['9 of clubs', 'A of hearts', '9 of spades', 'K of hearts', 'Q of hearts']",J of spades,0,1.0
0,2,0,0,1,0,2,True,True,spades,"['10 of diamonds', 'Q of diamonds', 'J of spades', 'J of clubs']","['9 of clubs', 'A of hearts', '9 of spades', 'K of hearts', 'Q of hearts']",J of clubs,1,1.0
0,3,0,0,2,0,0,True,True,spades,"['10 of diamonds', 'Q of diamonds', 'J of spades']","['9 of clubs', 'A of hearts', '9 of spades', 'K of hearts', 'Q of hearts', 'A of spades', 'Q of spades', 'J of clubs', '9 of diamonds']",10 of diamonds,0,1.0
0,3,0,0,2,0,0,True,True,spades,"['10 of diamonds', 'Q of diamonds', 'J of spades']","['9 of clubs', 'A of hearts', '9 of spades', 'K of hearts', 'Q of hearts', 'A of spades', 'Q of spades', 'J of clubs', '9 of diamonds']",Q of diamonds,0,1.0
0,3,0,0,2,0,0,True,True,spades,"['10 of diamonds', 'Q of diamonds', 'J of spades']","['9 of clubs', 'A of hearts', '9 of spades', 'K of hearts', 'Q of hearts', 'A of spades', 'Q of spades', 'J of clubs', '9 of diamonds']",J of spades,1,1.0
0,4,1,0,3,0,0,True,True,spades,"['10 of diamonds', 'Q of diamonds']","['9 of clubs', 'A of hearts', '9 of spades', 'K of hearts', 'Q of hearts', 'A of spades', 'Q of spades', 'J of clubs', '9 of diamonds', 'J of spades', '10 of clubs', 'K of spades', '10 of hearts']",10 of diamonds,1,0.0
0,4,1,0,3,0,0,True,True,spades,"['10 of diamonds', 'Q of diamonds']","['9 of clubs', 'A of hearts', '9 of spades', 'K of hearts', 'Q of hearts', 'A of spades', 'Q of spades', 'J of clubs', '9 of diamonds', 'J of spades', '10 of clubs', 'K of spades', '10 of hearts']",Q of diamonds,0,0.0
0,5,1,0,4,0,2,True,True,spades,['Q of diamonds'],"['9 of clubs', 'A of hearts', '9 of spades', 'K of hearts', 'Q of hearts', 'A of spades', 'Q of spades', 'J of clubs', '9 of diamonds', 'J of spades', '10 of clubs', 'K of spades', '10 of hearts', '10 of diamonds', 'K of diamonds', 'A of diamonds', 'J of hearts']",Q of diamonds,1,0.0
0,1,2,2,0,0,2,False,False,clubs,"['9 of spades', 'J of spades', 'K of spades', 'A of diamonds', 'A of spades']",['10 of hearts'],9 of spades,0,1.0
0,1,2,2,0,0,2,False,False,clubs,"['9 of spades', 'J of spades', 'K of spades', 'A of diamonds', 'A of spades']",['10 of hearts'],J of spades,1,1.0
0,1,2,2,0,0,2,False,False,clubs,"['9 of spades', 'J of spades', 'K of spades', 'A of diamonds', 'A of spades']",['10 of hearts'],K of spades,0,1.0
0,1,2,2,0,0,2,False,False,clubs,"['9 of spades', 'J of spades', 'K of spades', 'A of diamonds', 'A of spades']",['10 of hearts'],A of diamonds,0,1.0
0,1,2,2,0,0,2,False,False,clubs,"['9 of spades', 'J of spades', 'K of spades', 'A of diamonds', 'A of spades']",['10 of hearts'],A of spades,0,1.0
0,2,0,0,1,0,0,False,False,clubs,"['9 of spades', 'K of spades', 'A of diamonds', 'A of spades']","['10 of hearts', 'A of clubs', 'K of clubs', 'J of spades', '9 of diamonds']",9 of spades,0,0.0
0,2,0,0,1,0,0,False,False,clubs,"['9 of spades', 'K of spades', 'A of diamonds', 'A of spades']","['10 of hearts', 'A of clubs', 'K of clubs', 'J of spades', '9 of diamonds']",K of spades,0,0.0
0,2,0,0,1,0,0,False,False,clubs,"['9 of spades', 'K of spades', 'A of diamonds', 'A of spades']","['10 of hearts', 'A of clubs', 'K of clubs', 'J of spades', '9 of diamonds']",A of diamonds,1,0.0
0,2,0,0,1,0,0,False,False,clubs,"['9 of spades', 'K of spades', 'A of diamonds', 'A of spades']","['10 of hearts', 'A of clubs', 'K of clubs', 'J of spades', '9 of diamonds']",A of spades,0,1.0
0,3,0,0,1,1,1,False,False,clubs,"['9 of spades', 'K of spades', 'A of spades']","['10 of hearts', 'A of clubs', 'K of clubs', 'J of spades', '9 of diamonds', 'A of diamonds', 'K of diamonds', 'Q of diamonds', '9 of clubs']",9 of spades,1,1.0
0,3,0,0,1,1,1,False,False,clubs,"['9 of spades', 'K of spades', 'A of spades']","['10 of hearts', 'A of clubs', 'K of clubs', 'J of spades', '9 of diamonds', 'A of diamonds', 'K of diamonds', 'Q of diamonds', '9 of clubs']",K of spades,0,1.0
0,3,0,0,1,1,1,False,False,clubs,"['9 of spades', 'K of spades', 'A of spades']","['10 of hearts', 'A of clubs', 'K of clubs', 'J of spades', '9 of diamonds', 'A of diamonds', 'K of diamonds', 'Q of diamonds', '9 of clubs']",A of spades,0,1.0
0,4,0,0,1,2,1,False,False,clubs,"['K of spades', 'A of spades']","['10 of hearts', 'A of clubs', 'K of clubs', 'J of spades', '9 of diamonds', 'A of diamonds', 'K of diamonds', 'Q of diamonds', '9 of clubs', 'A of hearts', '9 of spades', '9 of hearts', 'J of hearts']",K of spades,1,0.0
0,4,0,0,1,2,1,False,False,clubs,"['K of spades', 'A of spades']","['10 of hearts', 'A of clubs', 'K of clubs', 'J of spades', '9 of diamonds', 'A of diamonds', 'K of diamonds', 'Q of diamonds', '9 of clubs', 'A of hearts', '9 of spades', '9 of hearts', 'J of hearts']",A of spades,0,0.0
0,5,0,0,2,2,2,False,False,clubs,['A of spades'],"['10 of hearts', 'A of clubs', 'K of clubs', 'J of spades', '9 of diamonds', 'A of diamonds', 'K of diamonds', 'Q of diamonds', '9 of clubs', 'A of hearts', '9 of spades', '9 of hearts', 'J of hearts', 'K of hearts', 'K of spades', '10 of spades', '10 of clubs']",A of spades,1,0.0
0,1,4,2,0,0,1,False,True,clubs,"['9 of clubs', 'K of diamonds', 'J of hearts', 'Q of clubs', '9 of diamonds']",['K of clubs'],9 of clubs,0,1.0
0,1,4,2,0,0,1,False,True,clubs,"['9 of clubs', 'K of diamonds', 'J of hearts', 'Q of clubs', '9 of diamonds']",['K of clubs'],K of diamonds,0,1.0
0,1,4,2,0,0,1,False,True,clubs,"['9 of clubs', 'K of diamonds', 'J of hearts', 'Q of clubs', '9 of diamonds']",['K of clubs'],J of hearts,1,1.0
0,1,4,2,0,0,1,False,True,clubs,"['9 of clubs', 'K of diamonds', 'J of hearts', 'Q of clubs', '9 of diamonds']",['K of clubs'],Q of clubs,0,1.0
0,1,4,2,0,0,1,False,True,clubs,"['9 of clubs', 'K of diamonds', 'J of hearts', 'Q of clubs', '9 of diamonds']",['K of clubs'],9 of diamonds,0,1.0
0,2,0,0,1,0,2,False,True,clubs,"['9 of clubs', 'K of diamonds', 'Q of clubs', '9 of diamonds']","['K of clubs', 'A of hearts', 'J of hearts', '9 of hearts', 'K of clubs']",9 of clubs,0,1.0
0,2,0,0,1,0,2,False,True,clubs,"['9 of clubs', 'K of diamonds', 'Q of clubs', '9 of diamonds']","['K of clubs', 'A of hearts', 'J of hearts', '9 of hearts', 'K of clubs']",K of diamonds,0,1.0
0,2,0,0,1,0,2,False,True,clubs,"['9 of clubs', 'K of diamonds', 'Q of clubs', '9 of diamonds']","['K of clubs', 'A of hearts', 'J of hearts', '9 of hearts', 'K of clubs']",Q of clubs,1,1.0
0,2,0,0,1,0,2,False,True,clubs,"['9 of clubs', 'K of diamonds', 'Q of clubs', '9 of diamonds']","['K of clubs', 'A of hearts', 'J of hearts', '9 of hearts', 'K of clubs']",9 of diamonds,0,1.0
0,3,0,0,2,0,2,False,True,clubs,"['9 of clubs', 'K of diamonds', '9 of diamonds']","['K of clubs', 'A of hearts', 'J of hearts', '9 of hearts', 'K of clubs', 'J of clubs', '10 of clubs', 'Q of clubs', 'J of spades']",9 of clubs,1,0.0
0,3,0,0,2,0,2,False,True,clubs,"['9 of clubs', 'K of diamonds', '9 of diamonds']","['K of clubs', 'A of hearts', 'J of hearts', '9 of hearts', 'K of clubs', 'J of clubs', '10 of clubs', 'Q of clubs', 'J of spades']",K of diamonds,0,1.0
0,3,0,0,2,0,2,False,True,clubs,"['9 of clubs', 'K of diamonds', '9 of diamonds']","['K of clubs', 'A of hearts', 'J of hearts', '9 of hearts', 'K of clubs', 'J of clubs', '10 of clubs', 'Q of clubs', 'J of spades']",9 of diamonds,0,1.0
0,4,1,0,3,0,2,False,True,clubs,"['K of diamonds', '9 of diamonds']","['K of clubs', 'A of hearts', 'J of hearts', '9 of hearts', 'K of clubs', 'J of clubs', '10 of clubs', 'Q of clubs', 'J of spades', 'A of clubs', '10 of spades', '9 of clubs', '10 of hearts']",K of diamonds,0,0.0
0,4,1,0,3,0,2,False,True,clubs,"['K of diamonds', '9 of diamonds']","['K of clubs', 'A of hearts', 'J of hearts', '9 of hearts', 'K of clubs', 'J of clubs', '10 of clubs', 'Q of clubs', 'J of spades', 'A of clubs', '10 of spades', '9 of clubs', '10 of hearts']",9 of diamonds,1,0.0
0,5,1,0,4,0,2,False,True,clubs,['K of diamonds'],"['K of clubs', 'A of hearts', 'J of hearts', '9 of hearts', 'K of clubs', 'J of clubs', '10 of clubs', 'Q of clubs', 'J of spades', 'A of clubs', '10 of spades', '9 of clubs', '10 of hearts', 'A of diamonds', 'Q of diamonds', '9 of diamonds', 'J of diamonds']",K of diamonds,1,0.0
0,1,5,2,0,0,0,False,False,hearts,"['10 of spades', 'Q of spades', '10 of diamonds', 'Q of clubs', '9 of hearts']",['K of spades'],10 of spades,1,0.0
0,1,5,2,0,0,0,False,False,hearts,"['10 of spades', 'Q of spades', '10 of diamonds', 'Q of clubs', '9 of hearts']",['K of spades'],Q of spades,0,0.0
0,1,5,2,0,0,0,False,False,hearts,"['10 of spades', 'Q of spades', '10 of diamonds', 'Q of clubs', '9 of hearts']",['K of spades'],10 of diamonds,0,0.0
0,1,5,2,0,0,0,False,False,hearts,"['10 of spades', 'Q of spades', '10 of diamonds', 'Q of clubs', '9 of hearts']",['K of spades'],Q of clubs,0,0.0
0,1,5,2,0,0,0,False,False,hearts,"['10 of spades', 'Q of spades', '10 of diamonds', 'Q of clubs', '9 of hearts']",['K of spades'],9 of hearts,0,0.0
0,2,0,0,1,0,2,False,False,hearts,"['Q of spades', '10 of diamonds', 'Q of clubs', '9 of hearts']","['K of spades', '10 of spades', '9 of spades', 'A of hearts', 'J of spades']",Q of spades,0,0.0
0,2,0,0,1,0,2,False,False,hearts,"['Q of spades', '10 of diamonds', 'Q of clubs', '9 of hearts']","['K of spades', '10 of spades', '9 of spades', 'A of hearts', 'J of spades']",10 of diamonds,0,0.0
0,2,0,0,1,0,2,False,False,hearts,"['Q of spades', '10 of diamonds', 'Q of clubs', '9 of hearts']","['K of spades', '10 of spades', '9 of spades', 'A of hearts', 'J of spades']",Q of clubs,1,0.0
0,2,0,0,1,0,2,False,False,hearts,"['Q of spades', '10 of diamonds', 'Q of clubs', '9 of hearts']","['K of spades', '10 of spades', '9 of spades', 'A of hearts', 'J of spades']",9 of hearts,0,0.0
0,3,0,0,1,1,3,False,False,hearts,"['Q of spades', '10 of diamonds', '9 of hearts']","['K of spades', '10 of spades', '9 of spades', 'A of hearts', 'J of spades', '9 of clubs', '10 of clubs', 'Q of clubs', 'A of clubs']",Q of spades,0,0.0
0,3,0,0,1,1,3,False,False,hearts,"['Q of spades', '10 of diamonds', '9 of hearts']","['K of spades', '10 of spades', '9 of spades', 'A of hearts', 'J of spades', '9 of clubs', '10 of clubs', 'Q of clubs', 'A of clubs']",10 of diamonds,0,0.0
0,3,0,0,1,1,3,False,False,hearts,"['Q of spades', '10 of diamonds', '9 of hearts']","['K of spades', '10 of spades', '9 of spades', 'A of hearts', 'J of spades', '9 of clubs', '10 of clubs', 'Q of clubs', 'A of clubs']",9 of hearts,1,0.0
0,4,0,0,2,1,2,False,False,hearts,"['Q of spades', '10 of diamonds']","['K of spades', '10 of spades', '9 of spades', 'A of hearts', 'J of spades', '9 of clubs', '10 of clubs', 'Q of clubs', 'A of clubs', 'J of diamonds', 'J of hearts', 'Q of hearts', '9 of hearts']",Q of spades,0,0.0
0,4,0,0,2,1,2,False,False,hearts,"['Q of spades', '10 of diamonds']","['K of spades', '10 of spades', '9 of spades', 'A of hearts', 'J of spades', '9 of clubs', '10 of clubs', 'Q of clubs', 'A of clubs', 'J of diamonds', 'J of hearts', 'Q of hearts', '9 of hearts']",10 of diamonds,1,0.0
0,5,0,0,2,2,1,False,False,hearts,['Q of spades'],"['K of spades', '10 of spades', '9 of spades', 'A of hearts', 'J of spades', '9 of clubs', '10 of clubs', 'Q of clubs', 'A of clubs', 'J of diamonds', 'J of hearts', 'Q of hearts', '9 of hearts', 'K of clubs', '10 of hearts', '10 of diamonds', '9 of diamonds']",Q of spades,1,0.0
0,1,5,3,0,0,3,True,True,clubs,"['Q of clubs', 'J of diamonds', '10 of hearts', 'Q of diamonds', 'J of spades']",['J of hearts'],Q of clubs,0,1.0
0,1,5,3,0,0,3,True,True,clubs,"['Q of clubs', 'J of diamonds', '10 of hearts', 'Q of diamonds', 'J of spades']",['J of hearts'],J of diamonds,0,1.0
0,1,5,3,0,0,3,True,True,clubs,"['Q of clubs', 'J of diamonds', '10 of hearts', 'Q of diamonds', 'J of spades']",['J of hearts'],10 of hearts,0,1.0
0,1,5,3,0,0,3,True,True,clubs,"['Q of clubs', 'J of diamonds', '10 of hearts', 'Q of diamonds', 'J of spades']",['J of hearts'],Q of diamonds,1,1.0
0,1,5,3,0,0,3,True,True,clubs,"['Q of clubs', 'J of diamonds', '10 of hearts', 'Q of diamonds', 'J of spades']",['J of hearts'],J of spades,0,1.0
0,2,0,0,0,1,3,True,True,clubs,"['Q of clubs', 'J of diamonds', '10 of hearts', 'J of spades']","['J of hearts', 'A of diamonds', '9 of diamonds', '10 of diamonds', 'Q of diamonds']",Q of clubs,0,1.0
0,2,0,0,0,1,3,True,True,clubs,"['Q of clubs', 'J of diamonds', '10 of hearts', 'J of spades']","['J of hearts', 'A of diamonds', '9 of diamonds', '10 of diamonds', 'Q of diamonds']",J of diamonds,1,0.0
0,2,0,0,0,1,3,True,True,clubs,"['Q of clubs', 'J of diamonds', '10 of hearts', 'J of spades']","['J of hearts', 'A of diamonds', '9 of diamonds', '10 of diamonds', 'Q of diamonds']",10 of hearts,0,1.0
0,2,0,0,0,1,3,True,True,clubs,"['Q of clubs', 'J of diamonds', '10 of hearts', 'J of spades']","['J of hearts', 'A of diamonds', '9 of diamonds', '10 of diamonds', 'Q of diamonds']",J of spades,0,1.0
0,3,0,0,0,2,1,True,True,clubs,"['Q of clubs', '10 of hearts', 'J of spades']","['J of hearts', 'A of diamonds', '9 of diamonds', '10 of diamonds', 'Q of diamonds', 'K of diamonds', '9 of clubs', 'A of clubs', 'J of diamonds']",Q of clubs,0,0.0
